"user";"booking_date";"origin_airport";"price";"sales channel";"ant"
"user5";2018-11-01;"MAD";336.589996338;"online";3
"user2";2018-11-01;"TLS";57.3800010681;"online";58
"user9";2018-11-01;"MAD";49.6699981689;"travel agency";4
"user8";2018-11-01;"FUE";37.8199996948;"call center";28
"user6";2018-10-29;"SVQ";34.7900009155;"travel agency";29
"user10";2018-11-01;"TFN";46.25;"online";64
"user2";2018-11-02;"TLS";28.9099998474;"online";9
"user10";2018-11-01;"SVQ";41.3400001526;"online";4
"user5";2018-11-01;"SVQ";13.1000003815;"online";7
"user7";2018-11-01;"MAD";358.029998779;"travel agency";2
"user8";2018-11-01;"MAD";69.2099990845;"online";44
"user7";2018-10-31;"MAD";67.1100006104;"travel agency";4
"user1";2018-11-01;"MAD";5.32000017166;"travel agency";9
"user6";2018-11-01;"TFN";144.919998169;"online";70
"user9";2018-10-29;"LYS";53.7799987793;"online";14
"user9";2018-10-29;"LPA";68.0500030518;"online";1
"user6";2018-11-01;"FRA";91.9599990845;"travel agency";4
"user8";2018-11-01;"MAD";74.6699981689;"travel agency";5
"user2";2018-11-01;"MAD";51.8199996948;"travel agency";25
"user2";2018-11-01;"MAD";34.6199989319;"online";14
"user6";2018-11-01;"PMI";67.3300018311;"online";5
"user2";2018-11-01;"MAD";183.86000061;"travel agency";7
"user2";2018-11-01;"VGO";205.88999939;"travel agency";5
"user2";2018-11-01;"VGO";24.6700000763;"online";39
"user4";2018-10-31;"LPA";271.350006104;"online";8
"user9";2018-11-01;"LGW";5.94000005722;"online";40
"user1";2018-11-01;"CMH";165.440002441;"online";88
"user2";2018-11-01;"CDG";85.4100036621;"online";65
"user10";2018-10-31;"MAD";123.569999695;"travel agency";4
"user9";2018-10-31;"MAD";39.7200012207;"travel agency";2
"user7";2018-11-01;"MAD";355.380004883;"call center";52
"user8";2018-11-01;"IBZ";93.7399978638;"online";74
"user2";2018-11-01;"SCQ";55.3899993896;"online";4
"user5";2018-11-01;"MAD";114.650001526;"online";36
"user1";2018-10-29;"TXL";29.0300006866;"online";5
"user5";2018-11-02;"TFS";25.1900005341;"online";13
"user8";2018-11-01;"MAD";47.5299987793;"online";6
"user7";2018-10-29;"TFN";22.6900005341;"online";7
"user5";2018-11-01;"BRU";210.559997559;"travel agency";57
"user4";2018-11-01;"MAD";23;"online";30
"user9";2018-10-31;"PMI";19.2800006866;"online";23
